iShares S&P 100 ETF
Fund Holdings as of,"Sep 02, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"44,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BIIB","BIOGEN INC","Health Care","Equity","17,402,464.80","0.23","17,402,464.80","60,933.00","09062X103","US09062X1037","2455965","285.60","United States","NASDAQ","USD","1.00","-","USD"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","16,421,694.72","0.22","16,421,694.72","272,967.00","26614N102","US26614N1028","BK0VN47","60.16","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"EMR","EMERSON ELECTRIC","Industrials","Equity","15,769,210.80","0.21","15,769,210.80","223,044.00","291011104","US2910111044","2313405","70.70","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","14,564,951.28","0.19","14,564,951.28","400,356.00","20825C104","US20825C1045","2685717","36.38","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","14,554,636.56","0.19","14,554,636.56","470,111.00","37045V100","US37045V1008","B665KZ5","30.96","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"EXC","EXELON CORP","Utilities","Equity","13,833,184.32","0.18","13,833,184.32","363,744.00","30161N101","US30161N1019","2670519","38.03","United States","NASDAQ","USD","1.00","-","USD"
"DOW","DOW INC","Materials","Equity","13,609,920.64","0.18","13,609,920.64","276,512.00","260557103","US2605571031","BHXCF84","49.22","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","13,410,895.68","0.18","13,410,895.68","87,129.00","369550108","US3695501086","2365161","153.92","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","11,791,235.12","0.16","11,791,235.12","169,976.00","14040H105","US14040H1059","2654461","69.37","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","11,331,663.38","0.15","11,331,663.38","300,814.00","064058100","US0640581007","B1Z77F6","37.67","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MET","METLIFE INC","Financials","Equity","11,149,841.58","0.15","11,149,841.58","287,219.00","59156R108","US59156R1086","2573209","38.82","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ALL","ALLSTATE CORP","Financials","Equity","11,092,285.53","0.15","11,092,285.53","117,267.00","020002101","US0200021014","2019952","94.59","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","10,483,309.74","0.14","10,483,309.74","10,483,310.00","-","-","-","100.00","United States","-","USD","1.00","-","USD"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","10,224,760.77","0.14","10,224,760.77","275,081.00","931427108","US9314271084","BTN1Y44","37.17","United States","NASDAQ","USD","1.00","-","USD"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","10,134,225.90","0.14","10,134,225.90","1,458,162.00","345370860","US3453708600","2615468","6.95","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"KMI","KINDER MORGAN INC","Energy","Equity","10,048,130.64","0.13","10,048,130.64","726,021.00","49456B101","US49456B1017","B3NQ4P8","13.84","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"SLB","SCHLUMBERGER NV","Energy","Equity","9,724,173.90","0.13","9,724,173.90","518,070.00","806857108","AN8068571086","2779201","18.77","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","9,545,749.15","0.13","9,545,749.15","320,005.00","026874784","US0268747849","2027342","29.83","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","8,074,031.94","0.11","8,074,031.94","232,614.00","500754106","US5007541064","BYRY499","34.71","United States","NASDAQ","USD","1.00","-","USD"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","7,764,423.68","0.10","7,764,423.68","114,452.00","828806109","US8288061091","2812452","67.84","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","4,166,065.20","0.06","4,166,065.20","335,973.00","674599105","US6745991058","2655408","12.40","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MSFUT","CASH COLLATERAL MSFUT USD","Cash and/or Derivatives","Cash Collateral and Margins","2,506,640.00","0.03","2,506,640.00","2,506,640.00","-","-","-","100.00","United States","-","USD","1.00","-","USD"
"ESU0","S&P500 EMINI SEP 20","Cash and/or Derivatives","Futures","0.00","0.00","34,539,762.50","193.00","-","-","-","3,579.25","-","Index And Options Market","USD","1.00","Sep 18, 2020","USD"
 
